Video,Video ID,Video length (minutes),Video created,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
LibreOffice - Writer - Ändern von Seitenrändern,er12qLLm3OE,3.63,"Feb 20, 2013",666,363,1.84,50.53,11,1,4,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LibreOffice - Ein Makro selbst erstellen (der Makro-Recorder),k3E8SF9p8qg,4.15,"Feb 22, 2014",663,339,1.96,47.13,11,4,12,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opensuse Leap 42.1 RC1 - Installation - Demo,QgQDTMsLnfc,3.52,"Oct 18, 2015",657,660,1.00,28.31,11,15,28,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,1,1,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,1,0,0,0,0,3,5,2,0,0,0
Python-Programmierung - Listen,Z-folPNH6ro,3.78,"Jun 14, 2011",638,313,2.04,53.85,11,35,82,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Firefox - bessere Verschlüsselung einstellen (How's my SSL ?),UuKRfhPShsk,4.60,"Jan 08, 2014",629,314,2.00,43.56,10,1,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
jQuery einbinden,6ZQz6dAhJlw,5.62,"Jun 17, 2012",628,307,2.05,36.45,10,2,11,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ubuntu Studio 13.10 - Demo,dp3Nwqe9wJA,10.30,"Oct 19, 2013",624,377,1.65,16.06,10,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
Raspberry Pi - arkos - Genesis - Terminal und Execute (Kommandos über den Browser eingeben),lCScxEAINn8,5.97,"Nov 14, 2013",612,411,1.49,24.97,10,14,41,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Lubuntu 13.10 - Demo,zCtoVP8INLk,4.72,"Oct 19, 2013",596,443,1.34,28.50,10,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
Webcamstudio,yiUKujXnLmY,6.53,"Sep 25, 2011",591,419,1.41,21.58,10,4,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
bottle - Simple Template,hznh93921yc,5.52,"Jun 08, 2012",582,368,1.58,28.69,10,14,22,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0
redis - Installation,nEMfyC5Zk_I,7.87,"Sep 15, 2012",577,519,1.11,14.14,10,1,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
Open webOS - Desktop - Demo,6_Rn3TXEf5o,3.52,"Oct 17, 2012",569,497,1.14,32.55,9,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Ubuntu Privacy Remix (UPR) 12.04r1 - Demo,8hI2FYys0Gc,6.80,"May 09, 2014",568,388,1.46,21.54,9,1,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubuntu - Dateien richtig löschen,5pyMI1aR6oU,2.98,"Aug 11, 2011",564,425,1.33,44.45,9,6,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LibreOffice Makro - Makros schreiben ohne Recorder,g3dcm1kXPlw,4.58,"May 09, 2014",552,281,1.96,42.84,9,1,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Listen (Teil 2),CSkrKxMOv10,4.93,"Jun 19, 2011",536,197,2.72,55.20,9,23,74,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0
