Date,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Unique cookies (web only),Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Videos published,Videos added,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
"Mar 06, 2015",618,340,1.82,34.06,201,10,10,28,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,12,0.00,2,12,16.67,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,1
"Mar 07, 2015",467,291,1.60,31.08,193,8,1,0,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,15,6.67,1,16,6.25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mar 08, 2015",495,311,1.59,32.28,189,8,3,1,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,12,8.33,1,11,9.09,12,0,0,1,1,0,0,0,0,1,0,0,0,0,-1,1,2,2,2,0
"Mar 09, 2015",636,358,1.78,37.18,172,11,0,0,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,9,0.00,1,9,11.11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,-1,0,1
"Mar 10, 2015",435,341,1.28,25.51,215,7,1,2,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,16,0.00,3,16,18.75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"Mar 11, 2015",394,289,1.36,27.87,204,7,1,0,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,11,0.00,4,11,36.36,11,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,2,2,0
"Mar 12, 2015",443,328,1.35,28.42,221,7,5,5,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,2,28,7.14,3,28,10.71,28,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0
"Mar 13, 2015",390,293,1.33,27.50,185,7,3,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,16,0.00,3,16,18.75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,6,7,0,0,0
"Mar 14, 2015",528,344,1.53,31.84,180,9,2,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,13,0.00,3,13,23.08,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2,0,2
"Mar 15, 2015",788,402,1.96,41.98,214,13,7,6,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,20,0.00,4,21,19.05,21,0,0,2,2,0,0,0,0,0,1,1,1,0,2,2,0,2,2,0
