Video,Video ID,Video length (minutes),Video created,Comments,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Matplotlib und Pylab - Installation,Ctc5tzbB_yc,5.18,"Jul 10, 2012",1,974,774,13,0.79,15.32,5,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,1,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,-4,1,5,0,0,0
Firefox - Leseansicht,8XXGNZ_EScc,2.77,"Jun 16, 2015",1,89,124,2,1.39,50.27,18,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Python-Programmierung - Modul webbrowser,bKYgXPr3BnA,2.43,"Feb 23, 2015",1,172,167,3,0.97,39.91,37,48,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,1,0,0,0,4,6,2,0,0,0
Mit nethogs ermitteln wie viel Bandbreite die einzelnen Prozesse nutzen,oynPlZWgzzc,2.33,"Mar 02, 2015",1,62,71,1,1.15,49.29,22,39,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0
GIMP - Bildschirm durchsichtig machen,U9uDblQ9SGk,6.02,"Mar 04, 2014",1,165,245,4,1.49,24.71,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,3,5,2,0,0,0
Ubuntu 12.04 LTS - Demo,pCK8HCyQw8w,4.42,"Apr 26, 2012",1,994,1321,22,1.33,30.08,4,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HTML und CSS - Ein Bild einfügen (img),diiikCQbmlA,4.02,"Apr 29, 2015",1,160,204,3,1.27,31.71,9,24,1,2,50.00,1,158,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0,2,3,1,0,0,0
SD-Karte des Raspberry Pi mit dd sichern,3yAjv-ky8io,6.05,"Jan 01, 2014",1,102,184,3,1.80,29.82,30,40,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,1,1,0,-1,0,1
Privacy Badger - die Datenschutz-Erweiterung für Firefox,WuYDbB6Mr3A,3.05,"May 04, 2014",1,389,456,8,1.17,38.44,5,14,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AngularJS - Ereignisdirektiven (Event: ng-click),qrRlIl1E6xw,3.90,"Jul 31, 2015",1,89,145,2,1.63,41.86,7,10,4,6,66.67,7,66,10.61,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,30,0.00,30,0,1,1,0,0,0,0,0,0,0,3,5,2,0,0,0
LibreOffice - Calc - Bedingte Formatierungen,F1aoLGhEY-w,4.62,"Apr 30, 2015",1,353,798,13,2.26,48.94,11,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,4,5,1,0,0,0
Linktipp - Lerne X in Y Minuten,912UNZmcRWs,1.78,"Sep 02, 2015",1,43,47,1,1.10,61.66,30,30,0,0,0.00,0,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Semplice Linux 7 - Demo,IIVSK_XjOXY,5.33,"Apr 10, 2015",1,800,933,16,1.17,21.87,24,32,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,1,1,0,0,0,0,0,2,5,3,0,0,0
