date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-06-21,307,210,1.5,30.75,0,2,0.00,1,24,4.17,1,0,0.00,0,0,0,0,11,0.00,0,11,0.00,11,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,5
2017-06-22,390,261,1.5,32.82,0,0,0.00,0,20,0.00,0,0,0.00,0,0,0,0,4,0.00,0,6,0.00,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
2017-06-23,276,194,1.4,27.91,0,0,0.00,0,12,0.00,0,0,0.00,0,0,0,0,4,0.00,1,4,25.00,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,5
2017-06-24,245,177,1.4,27.75,0,0,0.00,0,20,0.00,0,0,0.00,0,0,0,0,10,0.00,2,10,20.00,10,0,0,0,0,0,0,0,0,0,0,1,4,3,-1,0,1,4
2017-06-25,295,189,1.6,33.06,1,2,50.00,3,13,23.08,0,0,0.00,1,2,0,0,0,0.00,0,0,0.00,0,0,0,1,1,0,0,0,0,0,0,3,3,0,1,1,0,5
2017-06-26,448,242,1.9,41.37,0,0,0.00,0,29,0.00,1,0,0.00,0,0,0,4,14,28.57,0,14,0.00,14,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,7
2017-06-27,332,243,1.4,28.71,0,0,0.00,0,26,0.00,0,0,0.00,2,1,0,0,8,0.00,2,9,22.22,9,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,6
2017-06-28,365,230,1.6,34.06,0,0,0.00,0,32,0.00,0,0,0.00,0,0,0,6,27,22.22,1,29,3.45,29,0,0,2,2,0,0,0,0,0,0,5,5,0,0,1,1,6
2017-06-29,343,235,1.5,32.46,0,0,0.00,0,18,0.00,1,0,0.00,0,0,0,0,14,0.00,0,14,0.00,14,0,0,-1,0,1,0,0,0,0,0,2,2,0,0,0,0,6
2017-06-30,239,199,1.2,25.01,0,0,0.00,0,11,0.00,0,0,0.00,0,0,0,0,5,0.00,0,5,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,4
2017-07-01,246,165,1.5,31.43,0,0,0.00,0,21,0.00,0,0,0.00,0,0,0,0,12,0.00,0,12,0.00,12,0,0,1,1,0,1,1,0,0,0,-1,0,1,2,2,0,4
