Video,Video ID,Video length (minutes),Video created,Likes,Dislikes,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes added,Likes removed,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Python-Programmierung - Modul webbrowser,bKYgXPr3BnA,2.43,"Feb 23, 2015",2,0,172,167,3,0.97,39.91,37,48,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,1,1,0,0,0,4,6,2,0,0,0
lighttpd - PHP - FastCGI,UhKT7StOANU,6.60,"Oct 18, 2012",2,0,470,759,13,1.61,24.47,4,25,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,0,0,0,5,6,1,0,0,0
LibreOffice - Calc - Daten ändern,6yd8TQdDYSo,3.90,"Feb 03, 2015",2,0,39,65,1,1.68,42.96,12,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,2,0,0,0,3,4,1,0,0,0
Python-Programmierung - For-Schleife,UMFFpg1hGV8,3.38,"Mar 20, 2011",2,0,1247,1809,30,1.45,42.87,31,56,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,1,0,0,0,0,2,4,2,8,8,0
LibreOffice - Calc - Umrandungen,hsUbfOd87Gs,2.75,"Feb 21, 2015",2,0,30,35,1,1.15,41.99,8,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,3,0,0,0,3,4,1,0,0,0
Semplice Linux 7 - Demo,IIVSK_XjOXY,5.33,"Apr 10, 2015",2,1,800,933,16,1.17,21.87,24,32,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,1,0,0,1,0,0,0,2,5,3,0,0,0
Bella OS 2.2 - Demo,ERF6pj_X2H8,4.45,"Apr 10, 2015",2,0,108,133,2,1.24,27.75,24,24,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,3,0.00,0,3,0.00,3,2,0,0,0,0,4,0,0,0,2,6,4,0,0,0
CAELinux 2013 - Demo,UcOyFalHO4U,7.83,"Mar 11, 2014",2,4,3216,6087,101,1.89,24.16,2,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,1,1,0,0,1,0.00,1,1,100.00,1,3,1,4,0,0,0,0,0,0,5,7,2,1,1,0
Linux - cheat (lernen durch Kommando-Beispiele),pMR5F8IdDGI,4.05,"Feb 22, 2014",2,0,89,138,2,1.55,38.20,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Open webOS - Desktop - Demo,6_Rn3TXEf5o,3.52,"Oct 17, 2012",2,0,497,569,9,1.14,32.55,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0
